nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt

Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Train Epoch 1 | [12864/732000 (1.76%)] Loss 0.0456, Accuaracy 37.61%
Train Epoch 1 | [25664/732000 (3.51%)] Loss 0.0443, Accuaracy 37.99%
Train Epoch 1 | [38464/732000 (5.25%)] Loss 0.0436, Accuaracy 38.51%
Train Epoch 1 | [51264/732000 (7.00%)] Loss 0.0430, Accuaracy 39.20%
Train Epoch 1 | [64064/732000 (8.75%)] Loss 0.0426, Accuaracy 39.68%
Train Epoch 1 | [76864/732000 (10.50%)] Loss 0.0421, Accuaracy 40.21%
Train Epoch 1 | [89664/732000 (12.25%)] Loss 0.0418, Accuaracy 40.59%
Train Epoch 1 | [102464/732000 (14.00%)] Loss 0.0415, Accuaracy 40.86%
Train Epoch 1 | [115264/732000 (15.75%)] Loss 0.0413, Accuaracy 41.06%
Train Epoch 1 | [128064/732000 (17.50%)] Loss 0.0411, Accuaracy 41.36%
Train Epoch 1 | [140864/732000 (19.24%)] Loss 0.0409, Accuaracy 41.59%
Valid Epoch 1 | [1632/50000 (3.26%)] Loss 0.0688, Accuaracy 50.25%
Valid Epoch 1 | [3232/50000 (6.46%)] Loss 0.0700, Accuaracy 49.50%
Valid Epoch 1 | [4832/50000 (9.66%)] Loss 0.0705, Accuaracy 48.97%
Valid Epoch 1 | [6432/50000 (12.86%)] Loss 0.0703, Accuaracy 48.99%
Valid Epoch 1 | [8032/50000 (16.06%)] Loss 0.0702, Accuaracy 48.95%
Valid Epoch 1 | [9632/50000 (19.26%)] Loss 0.0700, Accuaracy 48.61%
Valid Epoch 1 | [11232/50000 (22.46%)] Loss 0.0700, Accuaracy 48.85%
Valid Epoch 1 | [12832/50000 (25.66%)] Loss 0.0701, Accuaracy 49.06%
Valid Epoch 1 | [14432/50000 (28.86%)] Loss 0.0700, Accuaracy 49.13%
Valid Epoch 1 | [16032/50000 (32.06%)] Loss 0.0699, Accuaracy 49.48%
Valid Epoch 1 | [17632/50000 (35.26%)] Loss 0.0700, Accuaracy 49.40%
Valid Epoch 1 | [19232/50000 (38.46%)] Loss 0.0700, Accuaracy 49.42%
Valid Epoch 1 | [20832/50000 (41.66%)] Loss 0.0701, Accuaracy 49.40%
Valid Epoch 1 | [22432/50000 (44.86%)] Loss 0.0698, Accuaracy 49.47%
Valid Epoch 1 | [24032/50000 (48.06%)] Loss 0.0700, Accuaracy 49.43%
Valid Epoch 1 | [25632/50000 (51.26%)] Loss 0.0701, Accuaracy 49.41%
Valid Epoch 1 | [27232/50000 (54.46%)] Loss 0.0701, Accuaracy 49.39%
Valid Epoch 1 | [28832/50000 (57.66%)] Loss 0.0703, Accuaracy 49.38%
Valid Epoch 1 | [30432/50000 (60.86%)] Loss 0.0704, Accuaracy 49.36%
Valid Epoch 1 | [32032/50000 (64.06%)] Loss 0.0705, Accuaracy 49.31%
Valid Epoch 1 | [33632/50000 (67.26%)] Loss 0.0705, Accuaracy 49.30%
Valid Epoch 1 | [35232/50000 (70.46%)] Loss 0.0705, Accuaracy 49.26%
Valid Epoch 1 | [36832/50000 (73.66%)] Loss 0.0704, Accuaracy 49.29%
Valid Epoch 1 | [38432/50000 (76.86%)] Loss 0.0705, Accuaracy 49.24%
Valid Epoch 1 | [40032/50000 (80.06%)] Loss 0.0705, Accuaracy 49.20%
Valid Epoch 1 | [41632/50000 (83.26%)] Loss 0.0705, Accuaracy 49.19%
Valid Epoch 1 | [43232/50000 (86.46%)] Loss 0.0705, Accuaracy 49.22%
Valid Epoch 1 | [44832/50000 (89.66%)] Loss 0.0705, Accuaracy 49.25%
Valid Epoch 1 | [46432/50000 (92.86%)] Loss 0.0705, Accuaracy 49.22%
Valid Epoch 1 | [48032/50000 (96.06%)] Loss 0.0706, Accuaracy 49.27%
Valid Epoch 1 | [49632/50000 (99.26%)] Loss 0.0706, Accuaracy 49.24%
Valid Epoch 1 | Avarage Loss 0.0706, Average Accuracy 49.24%
Train Epoch 2 | [64/732000 (0.01%)] Loss 0.0279, Accuaracy 56.25%
Train Epoch 2 | [12864/732000 (1.76%)] Loss 0.0282, Accuaracy 56.83%
Train Epoch 2 | [25664/732000 (3.51%)] Loss 0.0280, Accuaracy 57.84%
Train Epoch 2 | [38464/732000 (5.25%)] Loss 0.0279, Accuaracy 57.98%
Train Epoch 2 | [51264/732000 (7.00%)] Loss 0.0279, Accuaracy 57.94%
Train Epoch 2 | [64064/732000 (8.75%)] Loss 0.0278, Accuaracy 57.91%
Train Epoch 2 | [76864/732000 (10.50%)] Loss 0.0278, Accuaracy 57.98%
Train Epoch 2 | [89664/732000 (12.25%)] Loss 0.0279, Accuaracy 57.86%
Train Epoch 2 | [102464/732000 (14.00%)] Loss 0.0279, Accuaracy 57.85%
Train Epoch 2 | [115264/732000 (15.75%)] Loss 0.0278, Accuaracy 57.94%
Train Epoch 2 | [128064/732000 (17.50%)] Loss 0.0278, Accuaracy 57.95%
Train Epoch 2 | [140864/732000 (19.24%)] Loss 0.0278, Accuaracy 57.95%
Train Epoch 2 | [153664/732000 (20.99%)] Loss 0.0278, Accuaracy 57.99%
Train Epoch 2 | [166464/732000 (22.74%)] Loss 0.0278, Accuaracy 57.95%
Train Epoch 2 | [179264/732000 (24.49%)] Loss 0.0278, Accuaracy 57.93%
Train Epoch 2 | [192064/732000 (26.24%)] Loss 0.0278, Accuaracy 57.94%
Train Epoch 2 | [204864/732000 (27.99%)] Loss 0.0277, Accuaracy 57.94%
Train Epoch 2 | [217664/732000 (29.74%)] Loss 0.0277, Accuaracy 57.95%
Train Epoch 2 | [230464/732000 (31.48%)] Loss 0.0277, Accuaracy 57.97%
Train Epoch 2 | [243264/732000 (33.23%)] Loss 0.0277, Accuaracy 58.01%
Train Epoch 2 | [256064/732000 (34.98%)] Loss 0.0277, Accuaracy 58.01%
Train Epoch 2 | [268864/732000 (36.73%)] Loss 0.0276, Accuaracy 58.04%
Train Epoch 2 | [281664/732000 (38.48%)] Loss 0.0276, Accuaracy 58.08%
Train Epoch 2 | [294464/732000 (40.23%)] Loss 0.0276, Accuaracy 58.08%
Train Epoch 2 | [307264/732000 (41.98%)] Loss 0.0276, Accuaracy 58.09%
Train Epoch 2 | [320064/732000 (43.72%)] Loss 0.0275, Accuaracy 58.12%
Train Epoch 2 | [332864/732000 (45.47%)] Loss 0.0275, Accuaracy 58.12%
Train Epoch 2 | [345664/732000 (47.22%)] Loss 0.0275, Accuaracy 58.14%
Train Epoch 2 | [358464/732000 (48.97%)] Loss 0.0275, Accuaracy 58.19%
Train Epoch 2 | [371264/732000 (50.72%)] Loss 0.0274, Accuaracy 58.23%
Train Epoch 2 | [384064/732000 (52.47%)] Loss 0.0274, Accuaracy 58.26%
Train Epoch 2 | [396864/732000 (54.22%)] Loss 0.0274, Accuaracy 58.31%
Train Epoch 2 | [409664/732000 (55.97%)] Loss 0.0274, Accuaracy 58.37%
Train Epoch 2 | [422464/732000 (57.71%)] Loss 0.0273, Accuaracy 58.40%
Train Epoch 2 | [435264/732000 (59.46%)] Loss 0.0273, Accuaracy 58.44%
Train Epoch 2 | [448064/732000 (61.21%)] Loss 0.0273, Accuaracy 58.47%
Train Epoch 2 | [460864/732000 (62.96%)] Loss 0.0273, Accuaracy 58.50%
Train Epoch 2 | [473664/732000 (64.71%)] Loss 0.0272, Accuaracy 58.53%
Train Epoch 2 | [486464/732000 (66.46%)] Loss 0.0272, Accuaracy 58.55%
Train Epoch 2 | [499264/732000 (68.21%)] Loss 0.0272, Accuaracy 58.59%
Train Epoch 2 | [512064/732000 (69.95%)] Loss 0.0271, Accuaracy 58.62%
Train Epoch 2 | [524864/732000 (71.70%)] Loss 0.0271, Accuaracy 58.66%
Train Epoch 2 | [537664/732000 (73.45%)] Loss 0.0271, Accuaracy 58.69%
Train Epoch 2 | [550464/732000 (75.20%)] Loss 0.0271, Accuaracy 58.72%
Train Epoch 2 | [563264/732000 (76.95%)] Loss 0.0271, Accuaracy 58.74%
Train Epoch 2 | [576064/732000 (78.70%)] Loss 0.0270, Accuaracy 58.78%
Train Epoch 2 | [588864/732000 (80.45%)] Loss 0.0270, Accuaracy 58.82%
Train Epoch 2 | [601664/732000 (82.19%)] Loss 0.0270, Accuaracy 58.86%
Train Epoch 2 | [614464/732000 (83.94%)] Loss 0.0270, Accuaracy 58.88%
Train Epoch 2 | [627264/732000 (85.69%)] Loss 0.0269, Accuaracy 58.93%
Train Epoch 2 | [640064/732000 (87.44%)] Loss 0.0269, Accuaracy 58.98%
Train Epoch 2 | [652864/732000 (89.19%)] Loss 0.0269, Accuaracy 59.01%
Train Epoch 2 | [665664/732000 (90.94%)] Loss 0.0269, Accuaracy 59.06%
Train Epoch 2 | [678464/732000 (92.69%)] Loss 0.0268, Accuaracy 59.09%
Train Epoch 2 | [691264/732000 (94.43%)] Loss 0.0268, Accuaracy 59.13%
Train Epoch 2 | [704064/732000 (96.18%)] Loss 0.0268, Accuaracy 59.15%
Train Epoch 2 | [716864/732000 (97.93%)] Loss 0.0268, Accuaracy 59.17%
Train Epoch 2 | [729664/732000 (99.68%)] Loss 0.0268, Accuaracy 59.20%
Train Epoch 2 | Avarage Loss 0.0268, Average Accuracy 59.20%
Valid Epoch 2 | [32/50000 (0.06%)] Loss 0.0701, Accuaracy 50.00%
Valid Epoch 2 | [1632/50000 (3.26%)] Loss 0.0581, Accuaracy 55.58%
Valid Epoch 2 | [3232/50000 (6.46%)] Loss 0.0594, Accuaracy 55.75%
Valid Epoch 2 | [4832/50000 (9.66%)] Loss 0.0583, Accuaracy 56.66%
Valid Epoch 2 | [6432/50000 (12.86%)] Loss 0.0578, Accuaracy 57.03%
Valid Epoch 2 | [8032/50000 (16.06%)] Loss 0.0579, Accuaracy 57.10%
Valid Epoch 2 | [9632/50000 (19.26%)] Loss 0.0583, Accuaracy 56.87%
Valid Epoch 2 | [11232/50000 (22.46%)] Loss 0.0582, Accuaracy 56.86%
Valid Epoch 2 | [12832/50000 (25.66%)] Loss 0.0582, Accuaracy 56.85%
Valid Epoch 2 | [14432/50000 (28.86%)] Loss 0.0581, Accuaracy 56.83%
Valid Epoch 2 | [16032/50000 (32.06%)] Loss 0.0584, Accuaracy 56.78%
Valid Epoch 2 | [17632/50000 (35.26%)] Loss 0.0582, Accuaracy 56.85%
Valid Epoch 2 | [19232/50000 (38.46%)] Loss 0.0583, Accuaracy 56.79%
Valid Epoch 2 | [20832/50000 (41.66%)] Loss 0.0583, Accuaracy 56.84%
Valid Epoch 2 | [22432/50000 (44.86%)] Loss 0.0584, Accuaracy 56.78%
Valid Epoch 2 | [24032/50000 (48.06%)] Loss 0.0584, Accuaracy 56.71%
Valid Epoch 2 | [25632/50000 (51.26%)] Loss 0.0583, Accuaracy 56.81%
Valid Epoch 2 | [27232/50000 (54.46%)] Loss 0.0585, Accuaracy 56.74%
Valid Epoch 2 | [28832/50000 (57.66%)] Loss 0.0584, Accuaracy 56.77%
Valid Epoch 2 | [30432/50000 (60.86%)] Loss 0.0585, Accuaracy 56.69%
Valid Epoch 2 | [32032/50000 (64.06%)] Loss 0.0584, Accuaracy 56.73%
Valid Epoch 2 | [33632/50000 (67.26%)] Loss 0.0584, Accuaracy 56.64%
Valid Epoch 2 | [35232/50000 (70.46%)] Loss 0.0585, Accuaracy 56.61%
Valid Epoch 2 | [36832/50000 (73.66%)] Loss 0.0584, Accuaracy 56.68%
Valid Epoch 2 | [38432/50000 (76.86%)] Loss 0.0583, Accuaracy 56.65%
Valid Epoch 2 | [40032/50000 (80.06%)] Loss 0.0582, Accuaracy 56.68%
Valid Epoch 2 | [41632/50000 (83.26%)] Loss 0.0582, Accuaracy 56.72%
Valid Epoch 2 | [43232/50000 (86.46%)] Loss 0.0583, Accuaracy 56.75%
Valid Epoch 2 | [44832/50000 (89.66%)] Loss 0.0583, Accuaracy 56.72%
Valid Epoch 2 | [46432/50000 (92.86%)] Loss 0.0583, Accuaracy 56.79%
Valid Epoch 2 | [48032/50000 (96.06%)] Loss 0.0582, Accuaracy 56.83%
Valid Epoch 2 | [49632/50000 (99.26%)] Loss 0.0582, Accuaracy 56.82%
Valid Epoch 2 | Avarage Loss 0.0582, Average Accuracy 56.80%
Train Epoch 3 | [64/732000 (0.01%)] Loss 0.0241, Accuaracy 62.50%
Train Epoch 3 | [12864/732000 (1.76%)] Loss 0.0231, Accuaracy 63.77%
Train Epoch 3 | [25664/732000 (3.51%)] Loss 0.0234, Accuaracy 63.46%
Train Epoch 3 | [38464/732000 (5.25%)] Loss 0.0234, Accuaracy 63.45%
Train Epoch 3 | [51264/732000 (7.00%)] Loss 0.0234, Accuaracy 63.47%
Train Epoch 3 | [64064/732000 (8.75%)] Loss 0.0234, Accuaracy 63.42%
Train Epoch 3 | [76864/732000 (10.50%)] Loss 0.0234, Accuaracy 63.46%
Train Epoch 3 | [89664/732000 (12.25%)] Loss 0.0234, Accuaracy 63.53%
Train Epoch 3 | [102464/732000 (14.00%)] Loss 0.0234, Accuaracy 63.56%
Train Epoch 3 | [115264/732000 (15.75%)] Loss 0.0234, Accuaracy 63.58%
Train Epoch 3 | [128064/732000 (17.50%)] Loss 0.0234, Accuaracy 63.53%
Train Epoch 3 | [140864/732000 (19.24%)] Loss 0.0234, Accuaracy 63.53%
Train Epoch 3 | [153664/732000 (20.99%)] Loss 0.0234, Accuaracy 63.50%
Train Epoch 3 | [166464/732000 (22.74%)] Loss 0.0234, Accuaracy 63.47%
Train Epoch 3 | [179264/732000 (24.49%)] Loss 0.0234, Accuaracy 63.43%
Train Epoch 3 | [192064/732000 (26.24%)] Loss 0.0234, Accuaracy 63.40%
Train Epoch 3 | [204864/732000 (27.99%)] Loss 0.0234, Accuaracy 63.45%
Train Epoch 3 | [217664/732000 (29.74%)] Loss 0.0234, Accuaracy 63.44%
Train Epoch 3 | [230464/732000 (31.48%)] Loss 0.0234, Accuaracy 63.48%
Train Epoch 3 | [243264/732000 (33.23%)] Loss 0.0234, Accuaracy 63.53%
Train Epoch 3 | [256064/732000 (34.98%)] Loss 0.0234, Accuaracy 63.53%
Train Epoch 3 | [268864/732000 (36.73%)] Loss 0.0234, Accuaracy 63.54%
Train Epoch 3 | [281664/732000 (38.48%)] Loss 0.0234, Accuaracy 63.55%
Train Epoch 3 | [294464/732000 (40.23%)] Loss 0.0234, Accuaracy 63.55%
Train Epoch 3 | [307264/732000 (41.98%)] Loss 0.0234, Accuaracy 63.56%
Train Epoch 3 | [320064/732000 (43.72%)] Loss 0.0234, Accuaracy 63.61%
Train Epoch 3 | [332864/732000 (45.47%)] Loss 0.0234, Accuaracy 63.64%
Train Epoch 3 | [345664/732000 (47.22%)] Loss 0.0234, Accuaracy 63.66%
Train Epoch 3 | [358464/732000 (48.97%)] Loss 0.0234, Accuaracy 63.66%
Train Epoch 3 | [371264/732000 (50.72%)] Loss 0.0233, Accuaracy 63.68%
Train Epoch 3 | [384064/732000 (52.47%)] Loss 0.0233, Accuaracy 63.69%
Train Epoch 3 | [396864/732000 (54.22%)] Loss 0.0233, Accuaracy 63.70%
Train Epoch 3 | [409664/732000 (55.97%)] Loss 0.0233, Accuaracy 63.72%
Train Epoch 3 | [422464/732000 (57.71%)] Loss 0.0233, Accuaracy 63.73%
Train Epoch 3 | [435264/732000 (59.46%)] Loss 0.0233, Accuaracy 63.73%
Train Epoch 3 | [448064/732000 (61.21%)] Loss 0.0233, Accuaracy 63.73%
Train Epoch 3 | [460864/732000 (62.96%)] Loss 0.0233, Accuaracy 63.73%
Train Epoch 3 | [473664/732000 (64.71%)] Loss 0.0233, Accuaracy 63.72%
Train Epoch 3 | [486464/732000 (66.46%)] Loss 0.0233, Accuaracy 63.74%
Train Epoch 3 | [499264/732000 (68.21%)] Loss 0.0233, Accuaracy 63.76%
Train Epoch 3 | [512064/732000 (69.95%)] Loss 0.0233, Accuaracy 63.76%
Train Epoch 3 | [524864/732000 (71.70%)] Loss 0.0233, Accuaracy 63.79%
Train Epoch 3 | [537664/732000 (73.45%)] Loss 0.0233, Accuaracy 63.80%
Train Epoch 3 | [550464/732000 (75.20%)] Loss 0.0233, Accuaracy 63.78%
Train Epoch 3 | [563264/732000 (76.95%)] Loss 0.0232, Accuaracy 63.80%
Train Epoch 3 | [576064/732000 (78.70%)] Loss 0.0232, Accuaracy 63.83%
Train Epoch 3 | [588864/732000 (80.45%)] Loss 0.0232, Accuaracy 63.84%
Train Epoch 3 | [601664/732000 (82.19%)] Loss 0.0232, Accuaracy 63.85%
Train Epoch 3 | [614464/732000 (83.94%)] Loss 0.0232, Accuaracy 63.87%
Train Epoch 3 | [627264/732000 (85.69%)] Loss 0.0232, Accuaracy 63.89%
Train Epoch 3 | [640064/732000 (87.44%)] Loss 0.0232, Accuaracy 63.91%
Train Epoch 3 | [652864/732000 (89.19%)] Loss 0.0232, Accuaracy 63.92%
Train Epoch 3 | [665664/732000 (90.94%)] Loss 0.0232, Accuaracy 63.93%
Train Epoch 3 | [678464/732000 (92.69%)] Loss 0.0231, Accuaracy 63.95%
Train Epoch 3 | [691264/732000 (94.43%)] Loss 0.0231, Accuaracy 63.96%
Train Epoch 3 | [704064/732000 (96.18%)] Loss 0.0231, Accuaracy 63.96%
Train Epoch 3 | [716864/732000 (97.93%)] Loss 0.0231, Accuaracy 63.98%
Train Epoch 3 | [729664/732000 (99.68%)] Loss 0.0231, Accuaracy 63.98%
Train Epoch 3 | Avarage Loss 0.0231, Average Accuracy 63.98%
Valid Epoch 3 | [32/50000 (0.06%)] Loss 0.0401, Accuaracy 71.88%
Valid Epoch 3 | [1632/50000 (3.26%)] Loss 0.0539, Accuaracy 58.39%
Valid Epoch 3 | [3232/50000 (6.46%)] Loss 0.0530, Accuaracy 59.90%
Valid Epoch 3 | [4832/50000 (9.66%)] Loss 0.0528, Accuaracy 60.72%
Valid Epoch 3 | [6432/50000 (12.86%)] Loss 0.0529, Accuaracy 60.46%
Valid Epoch 3 | [8032/50000 (16.06%)] Loss 0.0526, Accuaracy 60.37%
Valid Epoch 3 | [9632/50000 (19.26%)] Loss 0.0527, Accuaracy 60.22%
Valid Epoch 3 | [11232/50000 (22.46%)] Loss 0.0526, Accuaracy 60.14%
Valid Epoch 3 | [12832/50000 (25.66%)] Loss 0.0524, Accuaracy 60.25%
Valid Epoch 3 | [14432/50000 (28.86%)] Loss 0.0525, Accuaracy 60.19%
Valid Epoch 3 | [16032/50000 (32.06%)] Loss 0.0526, Accuaracy 60.23%
Valid Epoch 3 | [17632/50000 (35.26%)] Loss 0.0525, Accuaracy 60.39%
Valid Epoch 3 | [19232/50000 (38.46%)] Loss 0.0528, Accuaracy 60.21%
Valid Epoch 3 | [20832/50000 (41.66%)] Loss 0.0526, Accuaracy 60.35%
Valid Epoch 3 | [22432/50000 (44.86%)] Loss 0.0525, Accuaracy 60.40%
Valid Epoch 3 | [24032/50000 (48.06%)] Loss 0.0524, Accuaracy 60.29%
Valid Epoch 3 | [25632/50000 (51.26%)] Loss 0.0523, Accuaracy 60.34%
Valid Epoch 3 | [27232/50000 (54.46%)] Loss 0.0522, Accuaracy 60.44%
Valid Epoch 3 | [28832/50000 (57.66%)] Loss 0.0521, Accuaracy 60.44%
Valid Epoch 3 | [30432/50000 (60.86%)] Loss 0.0522, Accuaracy 60.48%
Valid Epoch 3 | [32032/50000 (64.06%)] Loss 0.0521, Accuaracy 60.53%
Valid Epoch 3 | [33632/50000 (67.26%)] Loss 0.0522, Accuaracy 60.48%
Valid Epoch 3 | [35232/50000 (70.46%)] Loss 0.0523, Accuaracy 60.39%
Valid Epoch 3 | [36832/50000 (73.66%)] Loss 0.0524, Accuaracy 60.38%
Valid Epoch 3 | [38432/50000 (76.86%)] Loss 0.0524, Accuaracy 60.37%
Valid Epoch 3 | [40032/50000 (80.06%)] Loss 0.0524, Accuaracy 60.43%
Valid Epoch 3 | [41632/50000 (83.26%)] Loss 0.0524, Accuaracy 60.42%
Valid Epoch 3 | [43232/50000 (86.46%)] Loss 0.0524, Accuaracy 60.43%
Valid Epoch 3 | [44832/50000 (89.66%)] Loss 0.0523, Accuaracy 60.51%
Valid Epoch 3 | [46432/50000 (92.86%)] Loss 0.0523, Accuaracy 60.49%
Valid Epoch 3 | [48032/50000 (96.06%)] Loss 0.0523, Accuaracy 60.48%
Valid Epoch 3 | [49632/50000 (99.26%)] Loss 0.0524, Accuaracy 60.53%
Valid Epoch 3 | Avarage Loss 0.0524, Average Accuracy 60.52%
Train Epoch 4 | [64/732000 (0.01%)] Loss 0.0209, Accuaracy 67.19%
Train Epoch 4 | [12864/732000 (1.76%)] Loss 0.0204, Accuaracy 67.34%
Train Epoch 4 | [25664/732000 (3.51%)] Loss 0.0201, Accuaracy 67.91%
Train Epoch 4 | [38464/732000 (5.25%)] Loss 0.0204, Accuaracy 67.45%
Train Epoch 4 | [51264/732000 (7.00%)] Loss 0.0204, Accuaracy 67.36%
Train Epoch 4 | [64064/732000 (8.75%)] Loss 0.0205, Accuaracy 67.33%
Train Epoch 4 | [76864/732000 (10.50%)] Loss 0.0205, Accuaracy 67.39%
Train Epoch 4 | [89664/732000 (12.25%)] Loss 0.0205, Accuaracy 67.30%
Train Epoch 4 | [102464/732000 (14.00%)] Loss 0.0206, Accuaracy 67.25%
Train Epoch 4 | [115264/732000 (15.75%)] Loss 0.0206, Accuaracy 67.26%
Train Epoch 4 | [128064/732000 (17.50%)] Loss 0.0206, Accuaracy 67.27%
Train Epoch 4 | [140864/732000 (19.24%)] Loss 0.0206, Accuaracy 67.22%
Train Epoch 4 | [153664/732000 (20.99%)] Loss 0.0206, Accuaracy 67.24%
Train Epoch 4 | [166464/732000 (22.74%)] Loss 0.0206, Accuaracy 67.20%
Train Epoch 4 | [179264/732000 (24.49%)] Loss 0.0206, Accuaracy 67.24%
Train Epoch 4 | [192064/732000 (26.24%)] Loss 0.0206, Accuaracy 67.26%
